Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,37.6147,0.0000,10.4727,0.0625
2,6.5077,0.0205,5.3594,0.0000
3,5.1665,0.0256,5.3660,0.0000
4,5.2544,0.0205,4.9894,0.0625
5,4.8820,0.0410,5.0917,0.1250
6,4.7988,0.0615,4.6805,0.0625
7,4.4242,0.0769,6.7737,0.0625
8,4.5850,0.1179,4.9228,0.0625
9,4.0373,0.1692,5.5574,0.0625
10,3.7936,0.1795,5.5990,0.0625
11,3.7121,0.2513,4.8637,0.0625
12,3.2417,0.2513,5.4097,0.0625
13,2.9918,0.2974,4.7096,0.1875
14,2.7220,0.3590,6.8032,0.0000
15,2.8024,0.3333,6.5450,0.1250
16,2.7053,0.3897,6.0359,0.0625
17,2.3026,0.4205,5.9589,0.0000
18,2.2064,0.4667,5.8674,0.0625
19,2.1936,0.4410,7.8741,0.1250
20,2.0678,0.4513,4.8224,0.2500
21,1.7836,0.5128,6.2173,0.0625
22,1.5111,0.5692,6.0734,0.0625
23,1.3065,0.6359,5.8669,0.1250
24,1.2865,0.6513,4.2899,0.1250
25,0.9539,0.7231,6.1171,0.0625
26,0.9121,0.7590,6.4228,0.2500
27,1.0639,0.7385,4.1827,0.2500
28,0.7189,0.7897,5.3762,0.1875
29,0.6546,0.7897,6.8251,0.1250
30,0.5674,0.8410,6.9378,0.0625
